"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2025","229.24","229.50","231.55","227.51","4.16M","0.04%"
"07/07/2025","229.14","227.28","230.00","226.51","3.42M","0.82%"
"07/04/2025","227.28","229.67","230.00","226.52","2.46M","-0.79%"
"07/03/2025","229.09","224.13","230.00","224.00","9.42M","2.77%"
"07/02/2025","222.92","222.45","223.99","221.31","4.66M","0.61%"
"07/01/2025","221.57","220.30","223.00","218.99","4.59M","0.46%"
"06/30/2025","220.56","224.00","224.00","220.00","4.32M","-0.28%"
"06/27/2025","221.19","217.50","226.00","216.75","9.56M","1.79%"
"06/26/2025","217.29","218.00","222.49","216.11","6.97M","-0.26%"
"06/25/2025","217.85","218.39","219.01","216.10","6.81M","-0.07%"
"06/24/2025","218.01","216.00","220.30","211.00","9.16M","6.94%"
"06/23/2025","203.86","210.00","210.50","202.00","4.60M","-3.95%"
"06/20/2025","212.25","211.00","215.00","210.11","2.71M","0.75%"
"06/19/2025","210.68","213.55","216.01","209.85","4.40M","-0.23%"
"06/18/2025","211.17","214.26","214.26","210.50","3.68M","-1.44%"
"06/17/2025","214.26","213.00","215.45","212.00","5.63M","0.57%"
"06/16/2025","213.05","209.40","214.40","209.40","4.64M","2.01%"
"06/13/2025","208.86","211.00","212.20","208.23","5.20M","-1.50%"
"06/12/2025","212.05","217.00","218.99","211.26","8.62M","-1.51%"
"06/11/2025","215.31","212.65","216.45","212.10","8.78M","2.37%"
"06/10/2025","210.32","210.00","211.39","209.00","1.19M","0.18%"
"06/05/2025","209.95","211.89","212.50","209.50","2.23M","-0.92%"
"06/04/2025","211.89","209.15","213.13","208.95","4.38M","1.31%"
"06/03/2025","209.15","208.00","210.00","207.25","1.91M","0.56%"
"06/02/2025","207.98","211.38","213.50","206.50","3.67M","-0.72%"
"05/30/2025","209.49","209.10","210.10","207.50","1.91M","0.15%"
"05/29/2025","209.17","210.47","211.15","208.80","2.26M","-0.11%"
"05/27/2025","209.41","209.25","210.90","208.00","4.44M","0.22%"
"05/26/2025","208.95","213.00","213.80","207.15","3.43M","-1.61%"
"05/23/2025","212.37","212.80","213.70","210.60","1.69M","0.22%"
"05/22/2025","211.90","213.74","216.50","210.45","5.09M","-0.86%"
"05/21/2025","213.74","210.30","214.50","209.50","4.45M","1.93%"
"05/20/2025","209.70","210.98","212.00","209.50","1.45M","-0.94%"
"05/19/2025","211.70","213.00","213.51","209.40","4.67M","0.09%"
"05/16/2025","211.50","214.89","214.89","211.00","2.62M","-1.04%"
"05/15/2025","213.73","213.05","215.90","211.35","6.85M","0.50%"
"05/14/2025","212.67","217.90","217.90","211.50","9.74M","-2.74%"
"05/13/2025","218.66","209.00","219.99","203.50","30.91M","7.71%"
"05/12/2025","203.01","203.01","203.01","202.90","3.45M","10.00%"
"05/09/2025","184.55","179.99","185.75","174.26","9.34M","2.88%"
"05/08/2025","179.39","197.77","200.48","176.97","10.63M","-8.77%"
"05/07/2025","196.63","190.11","201.99","190.11","8.43M","-3.10%"
"05/06/2025","202.93","200.90","207.90","200.02","5.94M","1.35%"
"05/05/2025","200.22","204.00","204.00","199.51","1.96M","-1.49%"
"05/02/2025","203.25","203.00","204.48","202.25","2.12M","1.43%"
"04/30/2025","200.38","207.00","207.00","197.10","5.33M","-3.58%"
"04/29/2025","207.81","206.12","209.00","204.00","2.66M","-0.09%"
"04/28/2025","208.00","212.37","213.55","207.50","1.71M","-2.06%"
"04/25/2025","212.37","212.00","213.70","207.21","4.09M","0.32%"
"04/24/2025","211.69","211.80","214.00","210.00","3.50M","-1.25%"
"04/23/2025","214.36","213.28","217.15","211.05","5.15M","0.51%"
