"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","407.58","400.00","411.00","399.10","1.06M","2.15%"
"07/04/2025","399.02","394.99","400.00","388.00","802.54K","2.07%"
"07/03/2025","390.93","391.00","393.00","386.27","233.33K","0.00%"
"07/02/2025","390.93","390.01","399.00","388.00","508.84K","0.50%"
"07/01/2025","388.99","391.00","393.00","387.70","175.93K","-0.44%"
"06/30/2025","390.72","394.00","400.00","388.00","241.24K","0.08%"
"06/27/2025","390.40","380.00","392.15","375.01","397.29K","3.13%"
"06/26/2025","378.55","368.85","380.00","365.50","406.93K","3.13%"
"06/25/2025","367.06","374.00","374.00","366.00","166.29K","-1.01%"
"06/24/2025","370.82","364.88","377.00","358.00","429.50K","8.08%"
"06/23/2025","343.11","358.00","362.98","333.34","306.13K","-5.52%"
"06/20/2025","363.14","367.03","372.00","361.31","237.70K","-0.76%"
"06/19/2025","365.92","375.03","380.00","362.58","188.24K","-2.33%"
"06/18/2025","374.65","380.00","380.00","373.01","127.36K","-1.68%"
"06/17/2025","381.07","387.94","387.94","378.10","160.09K","-0.35%"
"06/16/2025","382.39","385.00","388.00","380.60","147.44K","-0.50%"
"06/13/2025","384.32","384.01","389.95","381.00","230.49K","-2.15%"
"06/12/2025","392.75","400.10","404.98","391.01","403.07K","-1.83%"
"06/11/2025","400.06","409.70","409.70","396.17","668.37K","2.32%"
"06/10/2025","391.00","380.00","392.92","379.00","643.32K","3.58%"
"06/05/2025","377.50","380.00","385.00","375.30","315.71K","-0.04%"
"06/04/2025","377.65","379.90","386.90","376.50","646.91K","-0.04%"
"06/03/2025","377.81","373.32","379.00","368.00","887.83K","1.47%"
"06/02/2025","372.32","379.49","382.97","372.00","305.11K","-1.71%"
"05/30/2025","378.81","380.00","385.00","377.00","162.24K","-0.43%"
"05/29/2025","380.45","386.03","388.00","380.01","361.14K","-1.36%"
"05/27/2025","385.68","390.00","394.40","384.84","316.15K","-1.40%"
"05/26/2025","391.17","390.42","398.00","382.00","197.72K","0.19%"
"05/23/2025","390.42","383.00","397.00","382.50","297.57K","1.75%"
"05/22/2025","383.71","382.50","399.89","381.50","715.02K","0.47%"
"05/21/2025","381.93","375.60","384.00","375.60","309.79K","1.94%"
"05/20/2025","374.67","378.00","378.00","372.44","109.05K","-0.53%"
"05/19/2025","376.66","381.00","382.00","373.00","239.01K","-0.64%"
"05/16/2025","379.09","374.50","390.00","372.00","795.14K","2.02%"
"05/15/2025","371.59","370.00","377.93","368.20","293.05K","0.67%"
"05/14/2025","369.12","378.00","378.00","366.00","588.32K","-1.73%"
"05/13/2025","375.63","380.00","380.00","354.50","1.49M","4.40%"
"05/12/2025","359.81","359.81","359.81","359.81","214.72K","10.00%"
"05/09/2025","327.10","318.00","333.95","301.00","374.60K","3.32%"
"05/08/2025","316.59","363.90","363.90","314.85","892.61K","-9.50%"
"05/07/2025","349.83","332.01","366.00","332.01","656.63K","-4.16%"
"05/06/2025","365.02","370.20","374.85","359.00","244.67K","-1.13%"
"05/05/2025","369.18","373.01","378.00","369.00","187.69K","-0.84%"
"05/02/2025","372.29","373.00","382.99","371.10","338.60K","1.51%"
"04/30/2025","366.76","379.00","379.00","362.00","567.68K","-3.51%"
"04/29/2025","380.12","380.00","388.98","375.01","843.49K","-0.61%"
"04/28/2025","382.45","414.00","416.00","381.20","1.15M","-6.62%"
"04/25/2025","409.57","444.40","458.24","400.02","1.96M","-7.85%"
"04/24/2025","444.46","449.98","452.00","436.00","509.58K","-2.37%"
"04/23/2025","455.26","467.22","469.90","453.00","875.61K","-2.54%"
"04/22/2025","467.12","459.95","475.00","459.00","1.74M","2.13%"
"04/21/2025","457.37","440.02","461.93","435.00","1.10M","3.94%"
"04/18/2025","440.02","453.99","458.00","436.00","555.74K","-3.48%"
"04/17/2025","455.87","447.85","459.00","440.50","700.73K","2.41%"
"04/16/2025","445.14","457.30","460.00","437.50","935.80K","-2.22%"
"04/15/2025","455.23","469.00","470.00","452.51","485.72K","-2.81%"
"04/14/2025","468.40","451.99","481.00","450.00","1.58M","5.05%"
"04/11/2025","445.88","415.00","457.94","410.01","4.32M","7.10%"
"04/10/2025","416.31","415.00","418.00","406.00","666.04K","2.95%"
"04/09/2025","404.37","400.10","409.00","391.22","156.34K","-1.15%"
"04/08/2025","409.08","407.95","411.99","404.00","205.03K","1.51%"
"04/07/2025","403.00","411.00","414.50","380.50","371.15K","-3.16%"
"04/04/2025","416.16","418.60","422.99","415.00","275.97K","-0.58%"
"04/03/2025","418.60","421.95","424.00","418.00","441.23K","0.04%"
"03/27/2025","418.43","418.00","424.00","417.68","146.29K","0.18%"
"03/26/2025","417.68","424.85","426.00","416.00","264.00K","0.13%"
"03/25/2025","417.15","414.98","432.00","412.50","1.02M","1.34%"
"03/24/2025","411.62","409.01","419.50","401.00","606.89K","0.86%"
"03/21/2025","408.10","413.79","415.00","406.00","79.42K","-0.97%"
"03/20/2025","412.08","410.01","420.00","408.00","400.50K","0.69%"
"03/19/2025","409.25","396.00","412.49","395.30","666.37K","3.53%"
"03/18/2025","395.30","399.00","400.00","387.00","239.27K","-0.15%"
"03/17/2025","395.91","396.99","402.00","392.00","315.32K","0.43%"
"03/14/2025","394.21","397.82","402.00","389.99","303.57K","0.36%"
"03/13/2025","392.78","394.90","398.50","391.01","82.90K","-0.19%"
"03/12/2025","393.51","391.00","407.00","390.00","383.86K","1.00%"
"03/11/2025","389.62","394.00","394.00","388.00","86.54K","-0.88%"
"03/10/2025","393.07","396.82","398.00","392.00","43.72K","-0.44%"
"03/07/2025","394.81","398.40","398.40","391.15","26.62K","0.67%"
"03/06/2025","392.17","394.85","395.00","389.06","29.68K","0.35%"
"03/05/2025","390.81","397.00","399.98","388.00","108.63K","-2.25%"
"03/04/2025","399.80","395.00","402.00","393.00","70.51K","1.56%"
"03/03/2025","393.67","399.00","399.00","388.00","40.29K","-0.32%"
"02/28/2025","394.94","394.73","401.00","388.00","156.84K","1.27%"
"02/27/2025","390.00","396.96","400.00","388.00","140.82K","-1.25%"
"02/26/2025","394.95","404.00","404.00","394.00","29.04K","-1.07%"
"02/25/2025","399.22","403.01","406.99","398.00","214.74K","-0.02%"
"02/24/2025","399.31","400.00","400.75","392.00","188.22K","-0.17%"
"02/21/2025","400.00","400.01","403.00","396.01","138.86K","0.08%"
"02/20/2025","399.67","406.00","411.00","398.00","285.03K","-2.07%"
"02/19/2025","408.11","408.00","412.50","406.00","256.85K","0.38%"
"02/18/2025","406.56","388.00","411.00","385.00","352.54K","5.10%"
"02/17/2025","386.83","395.00","395.00","385.55","124.62K","-0.91%"
"02/14/2025","390.40","401.00","402.00","389.90","129.99K","-1.78%"
"02/13/2025","397.46","399.00","404.25","396.11","119.10K","-0.75%"
"02/12/2025","400.45","403.89","405.00","397.77","93.36K","-0.49%"
"02/11/2025","402.42","403.50","407.00","401.20","211.28K","0.10%"
"02/10/2025","402.01","400.00","403.98","397.00","73.65K","0.54%"
"02/07/2025","399.87","409.99","409.99","397.00","117.10K","-1.92%"
"02/06/2025","407.71","396.30","410.00","394.00","299.90K","2.88%"
"02/04/2025","396.29","404.55","409.95","394.00","335.03K","-2.04%"
"02/03/2025","404.54","416.00","416.97","402.00","112.41K","-1.97%"
"01/31/2025","412.66","416.98","419.00","411.10","201.63K","-0.35%"
"01/30/2025","414.13","413.39","416.00","409.98","109.79K","0.65%"
"01/29/2025","411.46","416.80","417.95","410.00","199.95K","-1.30%"
"01/28/2025","416.87","414.00","427.00","411.00","614.33K","0.86%"
"01/27/2025","413.31","420.00","421.00","410.00","125.72K","-0.56%"
"01/24/2025","415.64","412.90","418.00","405.00","728.87K","1.24%"
"01/23/2025","410.56","399.02","423.00","397.00","727.24K","2.69%"
"01/22/2025","399.81","409.00","409.00","396.00","264.98K","-1.80%"
"01/21/2025","407.12","418.90","418.90","403.00","153.92K","-2.21%"
"01/20/2025","416.33","409.00","426.99","405.00","1.05M","2.15%"
"01/17/2025","407.56","402.00","413.00","394.00","624.74K","1.52%"
"01/16/2025","401.46","407.63","414.00","392.40","394.77K","-1.51%"
"01/15/2025","407.63","392.00","424.00","382.40","2.42M","5.07%"
"01/14/2025","387.95","367.00","390.00","365.00","336.84K","6.06%"
"01/13/2025","365.78","370.00","372.75","364.03","156.94K","0.25%"
"01/10/2025","364.86","379.70","379.70","360.50","97.79K","-2.35%"
"01/09/2025","373.64","375.51","383.00","372.00","97.57K","-0.77%"
"01/08/2025","376.54","390.99","394.94","376.00","143.19K","-2.73%"
"01/07/2025","387.09","380.01","397.98","379.02","252.03K","-1.50%"
"01/06/2025","393.00","398.98","407.00","391.00","134.68K","-1.23%"
"01/03/2025","397.90","404.00","408.00","391.28","97.03K","-1.73%"
"01/02/2025","404.90","409.88","417.00","401.01","140.96K","-0.27%"
"01/01/2025","406.00","398.00","421.00","392.00","593.03K","2.34%"
"12/31/2024","396.70","402.81","407.48","391.20","125.44K","-1.54%"
"12/30/2024","402.90","381.09","408.00","381.02","357.38K","5.61%"
"12/27/2024","381.50","385.00","388.00","372.18","177.52K","0.42%"
"12/26/2024","379.90","400.01","400.01","371.05","542.85K","-6.29%"
"12/24/2024","405.40","417.00","417.00","398.00","177.04K","-1.12%"
"12/23/2024","410.00","394.00","419.00","380.11","417.74K","6.49%"
"12/20/2024","385.00","378.00","399.00","375.00","341.16K","1.85%"
"12/19/2024","378.00","388.53","396.00","360.00","386.84K","-3.57%"
"12/18/2024","392.00","395.00","410.00","383.02","317.53K","-2.24%"
"12/17/2024","401.00","420.00","421.00","395.00","404.27K","-3.39%"
"12/16/2024","415.05","422.00","435.69","412.00","599.34K","-1.18%"
"12/13/2024","420.00","424.85","444.00","410.00","596.24K","0.24%"
"12/12/2024","419.01","392.00","425.00","392.00","1.18M","6.97%"
"12/11/2024","391.69","386.99","393.88","381.80","420.95K","2.00%"
"12/10/2024","384.00","377.00","401.00","374.00","970.77K","1.99%"
"12/09/2024","376.50","383.50","385.80","366.01","644.77K","-0.66%"
