Date,Price,Open,High,Low,Vol.,Change %
07/02/2025,192.83,191.01,193,190.01,1.58M,1.79%
07/01/2025,189.44,185,191.5,185,1.26M,2.07%
06/30/2025,185.59,186.5,188.55,185,1.04M,-1.58%
06/27/2025,188.56,183.9,192.49,183.3,2.11M,2.54%
06/26/2025,183.89,185.99,186,183.01,537.64K,-0.55%
06/25/2025,184.91,185,187,183.76,797.87K,0.63%
06/24/2025,183.76,178.51,185.2,178.51,1.27M,4.01%
06/23/2025,176.68,179.9,179.9,176,1.06M,-2.01%
06/20/2025,180.3,182,183,179.5,787.15K,-0.85%
06/19/2025,181.84,185.01,186.4,181.37,553.60K,-1.65%
06/18/2025,184.9,183.48,187.3,182.5,4.25M,1.03%
06/17/2025,183.02,183.14,183.14,181.5,975.16K,0.26%
06/16/2025,182.54,183.1,185.2,182,425.10K,-0.72%
06/13/2025,183.86,186,186.85,182,1.29M,-1.75%
06/12/2025,187.14,188.95,189.65,186.7,1.51M,-0.52%
06/11/2025,188.12,187,189,187,681.63K,1.19%
06/10/2025,185.91,189,189.3,185.02,925.51K,-0.74%
06/05/2025,187.29,187.26,187.7,182.48,4.21M,0.02%
06/04/2025,187.26,187.76,188.4,185,1.59M,-0.27%
06/03/2025,187.76,181.5,188,181.5,6.43M,3.56%
06/02/2025,181.3,183.5,184.5,180.7,1.02M,-1.26%
05/30/2025,183.62,182.49,184.15,181.5,715.88K,0.61%
05/29/2025,182.5,183,184.5,182.22,735.89K,-0.02%
05/27/2025,182.54,182.35,183.45,180,847.56K,0.29%
05/26/2025,182.02,182,183,179.5,520.89K,0.45%
05/23/2025,181.21,181.96,181.99,180.57,408.01K,-0.51%
05/22/2025,182.14,182,182.5,180.5,1.48M,0.25%
05/21/2025,181.69,182.75,182.75,180.6,1.49M,-0.36%
05/20/2025,182.35,181.76,182.5,180.8,997.24K,0.42%
05/19/2025,181.58,181.57,182.5,179.01,676.58K,0.28%
05/16/2025,181.07,182.75,183.5,180.1,1.49M,-0.92%
05/15/2025,182.75,178,183.2,178,5.68M,2.65%
05/14/2025,178.03,177,179.49,176.61,1.09M,-0.63%
05/13/2025,179.16,184,184,175.52,3.52M,0.15%
05/12/2025,178.9,178.9,178.9,176.5,2.43M,10.00%
05/09/2025,162.64,160,163.15,158,1.88M,4.47%
05/08/2025,155.68,162.2,166,145.25,4.05M,-3.53%
05/07/2025,161.38,161,165.4,156.9,1.56M,-3.31%
05/06/2025,166.9,169.99,171.85,166.5,612.94K,-1.85%
05/05/2025,170.05,170,171.05,165.83,760.07K,0.30%
05/02/2025,169.54,162.52,170.1,162.52,1.88M,4.87%
04/30/2025,161.67,169,169,160.89,2.27M,-5.25%
04/29/2025,170.63,169.91,172.4,160,1.95M,0.42%
04/28/2025,169.91,177,178,169.5,2.23M,-3.32%
04/25/2025,175.75,175.94,177.29,172.52,2.23M,-0.26%
04/24/2025,176.21,178.5,179.99,175.22,2.81M,-2.20%
04/23/2025,180.18,180.27,181.5,176.01,4.05M,-0.05%
04/22/2025,180.27,181.11,189,179.51,4.25M,-1.90%
04/21/2025,183.77,187.1,187.65,182.12,1.47M,-1.78%
04/18/2025,187.1,189,189.94,186.83,1.05M,-1.53%
04/17/2025,190,191.88,192.7,189.25,1.63M,-0.61%
04/16/2025,191.17,188.51,194.49,188.51,7.65M,1.28%
04/15/2025,188.76,189.7,190.86,188,1.10M,-0.05%
04/14/2025,188.86,185,189.77,183.01,1.93M,2.32%
04/11/2025,184.57,191.01,192.5,183.51,3.92M,-3.82%
04/10/2025,191.9,196,198,191.35,2.81M,-0.94%
04/09/2025,193.72,198.88,198.88,191,1.71M,-1.85%
04/08/2025,197.37,202.7,204,196.1,2.10M,-1.97%
04/07/2025,201.34,207.07,207.07,193,3.89M,-3.29%
04/04/2025,208.18,210.79,211.5,207.8,1.12M,-0.71%
04/03/2025,209.67,208,211.24,208,1.05M,1.01%
03/27/2025,207.58,207.5,209.9,207,920.49K,0.09%
03/26/2025,207.4,210,212.88,206.5,14.42M,-0.68%
03/25/2025,208.83,207.34,211.49,207.34,1.42M,0.72%
