,Weights,Expected Return,Volatility,Sharpe Ratio
EF,2.7819536817874515e-16,0.7199583433366504,0.18307727551922964,3.3372920893859135
GP,0.16526401261335752,0.7199583433366504,0.18307727551922964,3.3372920893859135
HB,0.07043006558910068,0.7199583433366504,0.18307727551922964,3.3372920893859135
ME,1.6163449109892062e-16,0.7199583433366504,0.18307727551922964,3.3372920893859135
Oa,0.12303037316927067,0.7199583433366504,0.18307727551922964,3.3372920893859135
TT,0.13389277661719015,0.7199583433366504,0.18307727551922964,3.3372920893859135
XH,0.5073827720110808,0.7199583433366504,0.18307727551922964,3.3372920893859135
