,Daily Mean Return,Daily Std Dev,Annualized Return,Annualized Volatility,Return/Volatility
EF,0.0011775100401606425,0.020590100390665438,0.2967325301204819,0.32685771062132774,0.9078339610114122
GP,0.00419156626506024,0.029857683420360503,1.0562746987951805,0.47397603032862173,2.2285403294821338
HB,0.003000401606425703,0.025589234281790937,0.7561012048192771,0.40621650090112404,1.8613256801286797
ME,0.0012907630522088355,0.01835990204343247,0.32527228915662654,0.2914544094145735,1.1160314568922836
Oa,0.0030305220883534135,0.0246590597131359,0.7636915662650602,0.39145043739389607,1.9509278654773794
TT,0.006922083333333333,0.0501241042640918,1.744365,0.7956954874359548,2.192251970186526
XH,0.0012875502008032128,0.010810921039964576,0.32446265060240964,0.17161805109181227,1.8906091086469017
