Target Return,Volatility,Weights
0.9251040121530357,0.2574174846021492,"[1.31132769e-18 2.46925278e-01 8.60125761e-02 0.00000000e+00
 1.64208079e-01 2.18808841e-01 2.84045226e-01]"
0.938534520150527,0.26290912444304976,"[1.80348536e-16 2.52114608e-01 8.68653781e-02 8.63777430e-17
 1.66593945e-01 2.24595753e-01 2.69830315e-01]"
0.9519650281480182,0.26845228699536566,"[0.00000000e+00 2.57575151e-01 8.81700765e-02 5.36822321e-17
 1.69019755e-01 2.30093155e-01 2.55141863e-01]"
0.9653955361455094,0.27404331011828204,"[1.86180667e-17 2.63010343e-01 8.93493354e-02 0.00000000e+00
 1.71311057e-01 2.35683363e-01 2.40645902e-01]"
0.9788260441430006,0.279679379741549,"[1.02239354e-17 2.68501925e-01 9.03004794e-02 0.00000000e+00
 1.73546029e-01 2.41331277e-01 2.26320290e-01]"
0.9922565521404918,0.28535788511192417,"[0.00000000e+00 2.74056864e-01 9.09972051e-02 9.24484301e-18
 1.75886355e-01 2.46991289e-01 2.12068287e-01]"
1.005687060137983,0.29107614994087344,"[0.00000000e+00 2.79425931e-01 9.15352726e-02 2.00874711e-17
 1.78775980e-01 2.52625410e-01 1.97637405e-01]"
1.0191175681354743,0.2968316559141101,"[0.00000000e+00 2.83986787e-01 9.26571237e-02 2.86192833e-17
 1.82257402e-01 2.58315551e-01 1.82783137e-01]"
1.0325480761329655,0.30262300376672174,"[0.         0.28899733 0.09396368 0.         0.18491229 0.26397346
 0.16815325]"
1.0459785841304567,0.3084478783318077,"[1.44246046e-17 2.94379499e-01 9.51203864e-02 0.00000000e+00
 1.87399641e-01 2.69537199e-01 1.53563275e-01]"
1.059409092127948,0.3143043687228024,"[3.93398307e-17 2.99774030e-01 9.62637030e-02 0.00000000e+00
 1.89874089e-01 2.75102636e-01 1.38985542e-01]"
1.0728396001254392,0.32019074305525336,"[0.         0.30517629 0.09740497 0.         0.19233786 0.28066802
 0.12441287]"
1.0862701081229305,0.3261053800122845,"[1.77029238e-17 3.10577503e-01 9.85402036e-02 4.17186422e-17
 1.94801641e-01 2.86235764e-01 1.09844888e-01]"
1.0997006161204217,0.3320467700945348,"[0.00000000e+00 3.15977470e-01 9.96729494e-02 5.41094022e-17
 1.97263955e-01 2.91805366e-01 9.52802591e-02]"
1.1131311241179127,0.338013503614803,"[2.22925707e-17 3.21375574e-01 1.00805127e-01 0.00000000e+00
 1.99722616e-01 2.97377231e-01 8.07194515e-02]"
1.126561632115404,0.34400426334116047,"[0.00000000e+00 3.26770497e-01 1.01937533e-01 7.76775942e-18
 2.02174696e-01 3.02952702e-01 6.61645727e-02]"
1.1399921401128952,0.35001781803702803,"[0.         0.33216029 0.10306952 0.         0.2046159  0.30853431
 0.05161999]"
1.1534226481103864,0.3560530155678114,"[1.31132769e-17 3.37542513e-01 1.04198965e-01 0.00000000e+00
 2.07040502e-01 3.14125725e-01 3.70922961e-02]"
1.1668531561078777,0.36210878004973546,"[0.00000000e+00 3.42914736e-01 1.05321329e-01 9.77224780e-18
 2.09440764e-01 3.19731977e-01 2.25911949e-02]"
1.1802836641053687,0.36818410759089343,"[3.14718645e-17 3.48275186e-01 1.06429450e-01 2.63785399e-17
 2.11807014e-01 3.25359147e-01 8.12920305e-03]"
1.19371417210286,0.37429409665032315,"[1.05930690e-17 3.54923423e-01 1.01601459e-01 0.00000000e+00
 2.10082595e-01 3.33392523e-01 5.19016512e-18]"
1.2071446801003511,0.38055794500062073,"[2.97097680e-18 3.62218821e-01 8.89248250e-02 1.55871694e-17
 2.04043334e-01 3.44813020e-01 0.00000000e+00]"
1.2205751880978424,0.3869952859346784,"[0.00000000e+00 3.71763032e-01 7.91657315e-02 8.84705321e-18
 1.93486070e-01 3.55585166e-01 0.00000000e+00]"
1.2340056960953336,0.39359289908234707,"[0.00000000e+00 3.79621748e-01 6.73501025e-02 0.00000000e+00
 1.86183888e-01 3.66844261e-01 2.28124127e-17]"
1.2474362040928249,0.4003452451288625,"[0.00000000e+00 3.88374590e-01 5.49447168e-02 0.00000000e+00
 1.78848664e-01 3.77832030e-01 4.34430907e-18]"
1.260866712090316,0.4072446319175472,"[0.00000000e+00 3.96176430e-01 4.35011393e-02 0.00000000e+00
 1.71211458e-01 3.89110973e-01 2.98022323e-17]"
1.2742972200878073,0.4142835559322272,"[0.00000000e+00 4.04116844e-01 3.16388970e-02 2.87553785e-18
 1.63898926e-01 4.00345333e-01 0.00000000e+00]"
1.2877277280852986,0.4214551710670609,"[5.45430361e-17 4.12072302e-01 1.97244953e-02 4.55545708e-17
 1.56628402e-01 4.11574800e-01 0.00000000e+00]"
1.3011582360827898,0.42875298825365954,"[0.00000000e+00 4.19874317e-01 7.60366382e-03 1.76262854e-17
 1.49673569e-01 4.22848450e-01 1.56423672e-17]"
1.314588744080281,0.43617173807724413,"[1.06053627e-16 4.28633888e-01 0.00000000e+00 0.00000000e+00
 1.37494736e-01 4.33871376e-01 0.00000000e+00]"
1.3280192520777723,0.44375271014918494,"[0.00000000e+00 4.35938148e-01 2.31625401e-17 0.00000000e+00
 1.18674507e-01 4.45387345e-01 0.00000000e+00]"
1.3414497600752635,0.4515058301791931,"[0.00000000e+00 4.43269997e-01 0.00000000e+00 4.16494050e-17
 9.98349202e-02 4.56895083e-01 0.00000000e+00]"
1.3548802680727547,0.45942238220305676,"[7.44178463e-17 4.50579381e-01 0.00000000e+00 8.61627906e-17
 8.10110959e-02 4.68409523e-01 0.00000000e+00]"
1.368310776070246,0.4674940637714629,"[0.00000000e+00 4.57884600e-01 3.65109740e-17 2.28191713e-17
 6.21901947e-02 4.79925205e-01 0.00000000e+00]"
1.381741284067737,0.47571297862139955,"[4.32738137e-17 4.65182876e-01 0.00000000e+00 7.06694115e-17
 4.33741644e-02 4.91442960e-01 6.66548552e-18]"
1.3951717920652282,0.4840716272334102,"[0.00000000e+00 4.72474802e-01 2.61046005e-18 3.03290385e-17
 2.45625897e-02 5.02962608e-01 8.29453607e-19]"
1.4086023000627195,0.4925628960329463,"[6.12226115e-17 4.79765156e-01 0.00000000e+00 1.91724731e-17
 5.75211814e-03 5.14482726e-01 1.04696402e-17]"
1.4220328080602105,0.5012551772105416,"[0.00000000e+00 4.68444608e-01 1.91058178e-17 9.65372781e-17
 0.00000000e+00 5.31555392e-01 0.00000000e+00]"
1.4354633160577017,0.510356419123446,"[8.06466529e-17 4.48926083e-01 0.00000000e+00 6.62950798e-19
 5.55111512e-17 5.51073917e-01 4.30495407e-18]"
1.448893824055193,0.5198592095456623,"[2.51329202e-17 4.29407558e-01 0.00000000e+00 3.09044776e-17
 0.00000000e+00 5.70592442e-01 2.77442912e-17]"
1.4623243320526842,0.5297419397950707,"[7.14673590e-17 4.09889033e-01 0.00000000e+00 0.00000000e+00
 2.08166817e-17 5.90110967e-01 8.79703836e-18]"
1.4757548400501754,0.5399837490249251,"[5.70427545e-17 3.90370508e-01 6.59533455e-17 1.06253270e-17
 0.00000000e+00 6.09629492e-01 0.00000000e+00]"
1.4891853480476667,0.5505645989671311,"[0.00000000e+00 3.70851982e-01 8.79668656e-17 0.00000000e+00
 9.71445147e-17 6.29148018e-01 5.95516286e-17]"
1.502615856045158,0.5614653215468581,"[0.00000000e+00 3.51333457e-01 0.00000000e+00 2.63366915e-17
 0.00000000e+00 6.48666543e-01 5.70806053e-17]"
1.5160463640426491,0.572667651281238,"[0.00000000e+00 3.31814931e-01 5.84175729e-17 0.00000000e+00
 5.11743425e-17 6.68185069e-01 3.85190881e-19]"
1.5294768720401404,0.5841542365629402,"[4.65495516e-17 3.12296405e-01 2.60208521e-17 0.00000000e+00
 0.00000000e+00 6.87703595e-01 0.00000000e+00]"
1.5429073800376316,0.5959086387689791,"[0.00000000e+00 2.92777881e-01 0.00000000e+00 1.02101135e-16
 4.16333634e-17 7.07222119e-01 0.00000000e+00]"
1.5563378880351229,0.6079153248714019,"[0.00000000e+00 2.73259355e-01 0.00000000e+00 1.21574634e-16
 0.00000000e+00 7.26740645e-01 4.26447163e-17]"
1.569768396032614,0.6201596403947018,"[0.00000000e+00 2.53740830e-01 1.07618541e-17 0.00000000e+00
 0.00000000e+00 7.46259170e-01 8.14518358e-17]"
1.5831989040301053,0.6326277853586477,"[0.00000000e+00 2.34222309e-01 0.00000000e+00 0.00000000e+00
 2.77555756e-17 7.65777691e-01 0.00000000e+00]"
1.5966294120275966,0.6453067914577262,"[0.00000000e+00 2.14703784e-01 0.00000000e+00 1.11022302e-16
 0.00000000e+00 7.85296216e-01 0.00000000e+00]"
1.6100599200250878,0.6581844702936887,"[0.00000000e+00 1.95185259e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.04814741e-01 2.77555756e-17]"
1.623490428022579,0.6712493875682438,"[0.00000000e+00 1.75666734e-01 5.55111512e-17 5.55111512e-17
 0.00000000e+00 8.24333266e-01 0.00000000e+00]"
1.6369209360200703,0.6844908218715149,"[0.00000000e+00 1.56148208e-01 1.11022302e-16 0.00000000e+00
 5.55111512e-17 8.43851792e-01 0.00000000e+00]"
1.6503514440175615,0.6978987259499634,"[0.00000000e+00 1.36629683e-01 1.94289029e-16 0.00000000e+00
 5.55111512e-17 8.63370317e-01 1.66533454e-16]"
1.6637819520150527,0.7114636882367662,"[2.77555756e-17 1.17111158e-01 0.00000000e+00 0.00000000e+00
 1.11022302e-16 8.82888842e-01 0.00000000e+00]"
1.6772124600125435,0.7251768951207581,"[0.00000000e+00 9.75926331e-02 0.00000000e+00 2.49800181e-16
 2.77555756e-17 9.02407367e-01 0.00000000e+00]"
1.6906429680100348,0.7390300943095246,"[8.32667268e-17 7.80741079e-02 8.32667268e-17 0.00000000e+00
 0.00000000e+00 9.21925892e-01 1.11022302e-16]"
1.704073476007526,0.7530155595430595,"[0.00000000e+00 5.85555828e-02 1.11022302e-16 8.32667268e-17
 0.00000000e+00 9.41444417e-01 2.77555756e-16]"
1.7175039840050172,0.7671260568338099,"[0.00000000e+00 3.90370577e-02 1.66533454e-16 0.00000000e+00
 0.00000000e+00 9.60962942e-01 2.77555756e-17]"
1.7309344920025085,0.7813548123442214,"[3.88578059e-16 1.95185326e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.80481467e-01 0.00000000e+00]"
1.744365,0.7956954819616594,"[1.38777878e-16 7.42292755e-09 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.99999993e-01 0.00000000e+00]"
